id,name,category,family,grade,standard_system,standard_designation,uns,en_number,tags,notes,source_type,source_name,confidence,density,youngs_modulus,poisson_ratio,yield_strength,ultimate_strength,toughness,thermal_expansion,melting_point,thermal_conductivity,created_at,updated_at,default_condition_id
67,Steel 316 [0067],metal,steel,316,EN,EN 58604,X40484,1.9464,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7549.8,148534289646.08,0.277,530874842.96,900819399.82,60591749.3,1.4913895e-05,1180.05,409.637,2026-02-02T18:45:01.392317,2026-02-02T18:45:01.392322,85
68,Gfrp GFRP-Woven [0068],composite,GFRP,GFRP-Woven,ISO,ISO 9087,,,"GFRP,bundle,composite,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1430.08,164874750476.27,0.3796,1088076661.95,1854073716.1,19037691.3,1.3114608e-05,274.49,6.9551,2026-02-02T18:45:01.392930,2026-02-02T18:45:01.392935,86
69,Copper Alloy C17200 [0069],metal,copper alloy,C17200,EN,EN 70134,X62175,1.4645,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7737.92,84411236598.58,0.3072,1014548091.88,1156580636.48,131778665.22,1.0291445e-05,972.78,256.7159,2026-02-02T18:45:01.393578,2026-02-02T18:45:01.393586,87
70,Aluminum 1100 [0070],metal,aluminum,1100,JIS,JIS K987,X14754,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8293.34,175291528948.13,0.2941,1240857092.93,1943562728.22,102818726.3,1.0256882e-05,1699.94,379.595,2026-02-02T18:45:01.394307,2026-02-02T18:45:01.394312,88
71,Pp PP-R [0071],polymer,pp,PP-R,ISO,ISO 83628,,,"bundle,polymer,pp,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1478.44,4043415659.81,0.3356,109147301.36,182474815.17,6257628.7,0.00010371498,252.0,0.7704,2026-02-02T18:45:01.394885,2026-02-02T18:45:01.394891,89
72,Aluminum 1100 [0072],metal,aluminum,1100,ASTM,ASTM C199,X19424,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8739.53,126534586023.77,0.3464,532900317.5,996421310.18,46671950.75,1.7618783e-05,867.24,77.2472,2026-02-02T18:45:01.395383,2026-02-02T18:45:01.395388,90
73,Steel 1018 [0073],metal,steel,1018,ASTM,ASTM C868,X87708,,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8293.09,145032889772.95,0.2761,468857650.94,526511785.73,71181104.76,1.4442936e-05,1221.66,129.8394,2026-02-02T18:45:01.395695,2026-02-02T18:45:01.395701,91
74,Silicon Carbide SiC-Sintered [0074],ceramic,silicon carbide,SiC-Sintered,JIS,JIS K6567,,,"bundle,ceramic,silicon_carbide,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,5020.7,116860139477.13,0.259,2514703016.94,4642979118.58,13231510.52,4.9656411e-06,2257.35,54.2915,2026-02-02T18:45:01.396107,2026-02-02T18:45:01.396111,92
75,Copper Alloy C36000 [0075],metal,copper alloy,C36000,ISO,ISO 90481,X16298,,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7979.72,93143293765.91,0.3137,977287072.63,1642762852.2,118074625.31,1.9803594e-05,1488.33,176.3478,2026-02-02T18:45:01.396600,2026-02-02T18:45:01.396603,94
76,Abs ABS-HighImpact [0076],polymer,abs,ABS-HighImpact,ISO,ISO 64565,,,"abs,bundle,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1185.21,16512465512.66,0.3258,123902063.53,234552122.78,5552124.26,0.00012299743,277.53,0.3734,2026-02-02T18:45:01.397379,2026-02-02T18:45:01.397383,96
77,Silicon Carbide SiC-ReactionBonded [0077],ceramic,silicon carbide,SiC-ReactionBonded,EN,EN 37141,,1.8752,"bundle,ceramic,silicon_carbide,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,2258.17,439314062349.75,0.2938,1606110067.05,2073232869.26,13747282.56,2.7605041e-06,2649.02,173.1843,2026-02-02T18:45:01.397697,2026-02-02T18:45:01.397700,97
78,Nickel Alloy Hastelloy C276 [0078],metal,nickel alloy,Hastelloy C276,EN,EN 52243,X48495,1.2654,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7485.56,76899839772.95,0.3125,326279757.26,466234187.99,45466179.54,2.357081e-05,1608.25,38.5143,2026-02-02T18:45:01.397983,2026-02-02T18:45:01.397987,98
79,Aluminum 1100 [0079],metal,aluminum,1100,JIS,JIS K1337,X15831,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8779.12,165220401052.03,0.3596,1014016767.86,1599956200.06,127920199.08,1.6047125e-05,1216.91,377.6796,2026-02-02T18:45:01.398265,2026-02-02T18:45:01.398273,99
80,Epoxy EP-HighTemp [0080],polymer,epoxy,EP-HighTemp,JIS,JIS K3207,,,"bundle,epoxy,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1215.18,14746039888.76,0.3794,33868684.4,123560566.39,2035701.39,0.00011601711,300.72,0.2022,2026-02-02T18:45:01.398470,2026-02-02T18:45:01.398473,100
81,Nylon PA6 [0081],polymer,nylon,PA6,ISO,ISO 60531,,,"bundle,nylon,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,936.86,11621433516.4,0.4008,82745020.18,125550703.82,5226939.22,6.5396882e-05,376.9,0.6966,2026-02-02T18:45:01.399140,2026-02-02T18:45:01.399146,102
82,Magnesium AZ91D [0082],metal,magnesium,AZ91D,ISO,ISO 70359,X43627,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8628.03,167692553127.67,0.3068,363301884.69,1774962613.55,34198854.73,1.6278335e-05,1351.26,31.4306,2026-02-02T18:45:01.399652,2026-02-02T18:45:01.399659,104
83,Magnesium AZ31B [0083],metal,magnesium,AZ31B,JIS,JIS G1802,X85548,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8007.02,193263451414.85,0.3562,1414736030.65,2561102792.32,153020424.54,2.0335461e-05,1233.8,367.5733,2026-02-02T18:45:01.400053,2026-02-02T18:45:01.400056,105
84,Pp PP-H [0084],polymer,pp,PP-H,ISO,ISO 84563,,,"bundle,polymer,pp,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1080.24,12897558411.83,0.4483,133117649.54,225564387.72,5345278.33,4.6050212e-05,271.22,0.2936,2026-02-02T18:45:01.400463,2026-02-02T18:45:01.400466,107
85,Pc PC [0085],polymer,pc,PC,ASTM,ASTM D268,,,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1066.32,1795922106.62,0.3789,138355994.27,232033361.18,2345698.62,0.00010697357,144.11,0.7745,2026-02-02T18:45:01.400746,2026-02-02T18:45:01.400749,108
86,Ptfe PTFE-Glass [0086],polymer,ptfe,PTFE-Glass,JIS,JIS H6772,,,"bundle,polymer,ptfe,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1398.17,8957667273.21,0.4007,73815005.9,87077579.41,3690340.16,0.00013683188,124.75,0.5215,2026-02-02T18:45:01.400972,2026-02-02T18:45:01.400975,109
87,Peek PEEK [0087],polymer,peek,PEEK,JIS,JIS K6441,,,"bundle,peek,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1065.41,6448633079.24,0.3538,115949180.21,152796524.86,8338750.12,6.0999676e-05,301.16,0.2019,2026-02-02T18:45:01.401523,2026-02-02T18:45:01.401529,111
88,Nylon PA66 [0088],polymer,nylon,PA66,ASTM,ASTM E76,,,"bundle,nylon,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1490.0,16343941525.26,0.3439,146040285.08,209994082.58,10448408.42,4.5318298e-05,308.59,0.4336,2026-02-02T18:45:01.401813,2026-02-02T18:45:01.401816,112
89,Copper Alloy C36000 [0089],metal,copper alloy,C36000,JIS,JIS K6278,X20361,,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8564.13,162431988207.65,0.3593,515428040.8,1101362678.45,80132219.77,2.3507584e-05,1222.51,272.91,2026-02-02T18:45:01.402047,2026-02-02T18:45:01.402050,113
90,Steel 17-4PH [0090],metal,steel,17-4PH,ISO,ISO 89567,X70487,,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8002.69,118461764575.25,0.3519,252405422.81,1056651814.66,20452132.9,1.7123731e-05,1654.76,112.7759,2026-02-02T18:45:01.402580,2026-02-02T18:45:01.402584,115
91,Pp PP-R [0091],polymer,pp,PP-R,ASTM,ASTM C596,,,"bundle,polymer,pp,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1259.36,4757005707.97,0.3672,39865251.29,90338336.29,2133135.2,0.000105854,160.0,0.2188,2026-02-02T18:45:01.403267,2026-02-02T18:45:01.403270,117
92,Pc PC [0092],polymer,pc,PC,EN,EN 69741,,1.8679,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,973.21,928845341.82,0.4212,104563042.54,253495806.65,2200804.74,5.8035292e-05,269.09,0.2556,2026-02-02T18:45:01.403690,2026-02-02T18:45:01.403692,119
93,Nickel Alloy Hastelloy C276 [0093],metal,nickel alloy,Hastelloy C276,EN,EN 74353,X62997,1.3901,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8428.1,88783472109.09,0.3238,216594984.85,1648695512.15,12574029.0,1.52207e-05,969.53,267.2662,2026-02-02T18:45:01.403905,2026-02-02T18:45:01.403908,120
94,Steel 304 [0094],metal,steel,304,EN,EN 76804,X42922,1.6270,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8521.06,197055162300.61,0.3284,399686845.92,1245670005.08,41541045.13,1.6088341e-05,1586.9,251.6305,2026-02-02T18:45:01.404520,2026-02-02T18:45:01.404525,122
95,Peek PEEK [0095],polymer,peek,PEEK,JIS,JIS G9186,,,"bundle,peek,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1337.05,8500620645.52,0.3316,89663282.29,212653427.19,1588584.42,5.6364449e-05,295.45,0.5549,2026-02-02T18:45:01.405080,2026-02-02T18:45:01.405086,124
96,Peek PEEK-CF30 [0096],polymer,peek,PEEK-CF30,EN,EN 26971,,1.9261,"bundle,peek,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,963.77,12277480403.73,0.375,51005689.47,219282706.21,1489415.96,0.00013422127,121.9,0.4971,2026-02-02T18:45:01.405277,2026-02-02T18:45:01.405282,125
97,Nickel Alloy Inconel 625 [0097],metal,nickel alloy,Inconel 625,ISO,ISO 54589,X81011,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8249.42,149612781627.01,0.2919,645258522.76,1354158096.02,59790156.77,2.2588518e-05,1251.15,103.6701,2026-02-02T18:45:01.405521,2026-02-02T18:45:01.405524,126
98,Steel 1045 [0098],metal,steel,1045,ASTM,ASTM E407,X86487,,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8836.52,204697880470.69,0.3485,348148991.89,1973370427.32,34235279.74,1.9237675e-05,877.5,369.9067,2026-02-02T18:45:01.405713,2026-02-02T18:45:01.405716,127
99,Nylon PA6 [0099],polymer,nylon,PA6,EN,EN 77337,,1.8712,"bundle,nylon,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1075.77,4211316759.77,0.3296,117531172.07,174567547.51,6088891.94,4.5365991e-05,162.41,0.6241,2026-02-02T18:45:01.406097,2026-02-02T18:45:01.406102,128
100,Silicon Carbide SiC-Sintered [0100],ceramic,silicon carbide,SiC-Sintered,EN,EN 32873,,1.3740,"bundle,ceramic,silicon_carbide,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,2661.15,171188014849.06,0.2051,1532633210.45,2437113140.18,6208744.14,9.2874678e-06,2453.73,185.3193,2026-02-02T18:45:01.406613,2026-02-02T18:45:01.406616,130
101,Aluminum 1100 [0101],metal,aluminum,1100,ISO,ISO 26347,X70829,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8589.01,171173637322.62,0.272,510655640.22,1635533704.78,54906443.05,1.9188701e-05,1225.08,153.3573,2026-02-02T18:45:01.407049,2026-02-02T18:45:01.407052,132
102,Nylon PA66 [0102],polymer,nylon,PA66,ASTM,ASTM D19,,,"bundle,nylon,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1229.1,4307326991.57,0.3936,191313230.02,342914456.66,5301988.96,6.3417189e-05,244.28,0.2783,2026-02-02T18:45:01.407302,2026-02-02T18:45:01.407305,133
103,Copper Alloy C36000 [0103],metal,copper alloy,C36000,EN,EN 73186,X38235,1.5512,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7745.74,172468068507.91,0.3429,1317374576.64,1682492399.61,105506773.28,9.1592123e-06,1562.72,217.4768,2026-02-02T18:45:01.407483,2026-02-02T18:45:01.407486,134
104,Magnesium AZ91D [0104],metal,magnesium,AZ91D,ISO,ISO 69551,X49672,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8416.88,96886775841.73,0.359,1360136415.78,1879485665.4,105417525.63,2.1705058e-05,1561.9,148.9366,2026-02-02T18:45:01.407763,2026-02-02T18:45:01.407766,135
105,Magnesium AZ91D [0105],metal,magnesium,AZ91D,ISO,ISO 68138,X59486,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7589.93,109444168596.12,0.2674,393648746.93,1141090211.25,41719710.14,2.3441059e-05,930.9,198.4634,2026-02-02T18:45:01.407988,2026-02-02T18:45:01.407991,136
106,Aluminum 6063 [0106],metal,aluminum,6063,ISO,ISO 54633,X37094,,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8252.87,129345295978.15,0.3092,248994658.14,1273622666.38,11981705.45,2.0762904e-05,694.14,378.9397,2026-02-02T18:45:01.408373,2026-02-02T18:45:01.408376,137
107,Magnesium AZ31B [0107],metal,magnesium,AZ31B,JIS,JIS H6607,X56555,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7961.46,116006391149.5,0.2865,486745626.9,1780014044.75,40088396.17,1.8043804e-05,918.05,151.4804,2026-02-02T18:45:01.408523,2026-02-02T18:45:01.408527,138
108,Abs ABS [0108],polymer,abs,ABS,EN,EN 99876,,1.8434,"abs,bundle,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1369.6,6879853603.48,0.339,194820177.29,313261238.46,10368903.75,4.0559063e-05,125.41,0.3552,2026-02-02T18:45:01.408806,2026-02-02T18:45:01.408809,139
109,Silicon Carbide SiC-ReactionBonded [0109],ceramic,silicon carbide,SiC-ReactionBonded,EN,EN 43168,,1.6246,"bundle,ceramic,silicon_carbide,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,4918.57,267965721620.67,0.2572,2671696486.29,4844025944.01,11833407.77,5.4730012e-06,1630.9,12.2247,2026-02-02T18:45:01.409124,2026-02-02T18:45:01.409126,140
110,Copper Alloy C17200 [0110],metal,copper alloy,C17200,EN,EN 57848,X88723,1.8469,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8598.37,104680692004.32,0.2999,226215803.55,1073585506.25,38525570.87,2.186471e-05,992.36,115.7185,2026-02-02T18:45:01.409645,2026-02-02T18:45:01.409654,141
111,Copper Alloy C11000 [0111],metal,copper alloy,C11000,ISO,ISO 23458,X74092,,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8549.48,82253794897.88,0.3381,436631576.31,722737266.01,21582020.18,2.2194726e-05,1364.69,153.1198,2026-02-02T18:45:01.410369,2026-02-02T18:45:01.410376,142
112,Nickel Alloy Inconel 718 [0112],metal,nickel alloy,Inconel 718,ASTM,ASTM C698,X24191,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7602.04,193872095373.02,0.2683,839668472.86,1197161473.33,111115454.94,1.4163464e-05,1634.37,86.7768,2026-02-02T18:45:01.414475,2026-02-02T18:45:01.414479,143
113,Pc PC-FR [0113],polymer,pc,PC-FR,ASTM,ASTM C871,,,"bundle,pc,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1063.37,8727803689.42,0.3775,79724504.26,95714583.87,4375221.34,3.2176917e-05,173.27,0.219,2026-02-02T18:45:01.415055,2026-02-02T18:45:01.415058,145
114,Alumina Al2O3 95% [0114],ceramic,alumina,Al2O3 95%,EN,EN 56042,,1.4831,"alumina,bundle,ceramic,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,2272.25,401819654782.73,0.2473,2224726581.37,3851552375.58,19279044.53,7.9500677e-06,2826.65,154.7763,2026-02-02T18:45:01.415237,2026-02-02T18:45:01.415240,146
115,Silicon Nitride Si3N4-Sintered [0115],ceramic,silicon nitride,Si3N4-Sintered,ISO,ISO 39807,,,"bundle,ceramic,silicon_nitride,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,5649.04,172897735501.57,0.1412,2561872320.26,3943536918.79,24995846.42,1.1580749e-05,2537.77,105.7621,2026-02-02T18:45:01.415810,2026-02-02T18:45:01.415813,148
116,Nylon PA6 [0116],polymer,nylon,PA6,ISO,ISO 97156,,,"bundle,nylon,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1519.68,7279344623.26,0.3529,156819558.96,212823792.34,4435041.76,3.8138928e-05,190.22,0.4311,2026-02-02T18:45:01.416124,2026-02-02T18:45:01.416128,150
117,Epoxy EP-HighTemp [0117],polymer,epoxy,EP-HighTemp,ISO,ISO 46897,,,"bundle,epoxy,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1597.01,17519454548.78,0.3563,138230941.73,233541825.31,6376247.15,6.1845635e-05,160.52,0.3596,2026-02-02T18:45:01.416358,2026-02-02T18:45:01.416361,151
118,Copper Alloy C11000 [0118],metal,copper alloy,C11000,EN,EN 57863,X78131,1.4592,"bundle,copper_alloy,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8856.88,179805197691.99,0.341,204223371.46,1478682257.64,26796108.96,2.073228e-05,1626.27,229.3367,2026-02-02T18:45:01.416661,2026-02-02T18:45:01.416664,153
119,Steel 4340 [0119],metal,steel,4340,JIS,JIS G7055,X92497,,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8850.94,207286835981.11,0.2681,439901555.15,579862164.06,69411944.81,1.1862195e-05,1248.26,50.0008,2026-02-02T18:45:01.416910,2026-02-02T18:45:01.416913,154
120,Silicon Nitride Si3N4-HIP [0120],ceramic,silicon nitride,Si3N4-HIP,JIS,JIS K9228,,,"bundle,ceramic,silicon_nitride,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,5088.18,93761587251.59,0.2865,1530997516.57,1812514287.43,12697089.51,6.319677e-06,2847.03,129.6875,2026-02-02T18:45:01.417300,2026-02-02T18:45:01.417305,155
121,Magnesium AZ31B [0121],metal,magnesium,AZ31B,ASTM,ASTM E590,X88396,,"bundle,magnesium,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8206.06,95995029879.45,0.3276,1303632680.81,1729940248.3,211585906.01,2.0875282e-05,1439.32,306.2671,2026-02-02T18:45:01.417864,2026-02-02T18:45:01.417870,157
122,Nickel Alloy Hastelloy C276 [0122],metal,nickel alloy,Hastelloy C276,JIS,JIS G857,X33114,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7556.68,175093714289.25,0.2972,919540148.08,1530857310.41,73964664.36,2.1225317e-05,1582.73,11.0359,2026-02-02T18:45:01.418712,2026-02-02T18:45:01.418718,158
123,Steel 1045 [0123],metal,steel,1045,ASTM,ASTM B297,X52286,,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,7439.55,185439539546.36,0.3364,869923041.13,1865085729.24,35536164.3,1.8030627e-05,1434.57,75.0166,2026-02-02T18:45:01.419186,2026-02-02T18:45:01.419190,159
124,Peek PEEK-GF30 [0124],polymer,peek,PEEK-GF30,EN,EN 71649,,1.2627,"bundle,peek,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1215.35,14041474076.84,0.3235,111719153.12,200182470.37,8230998.1,0.00011543082,142.26,0.4168,2026-02-02T18:45:01.419930,2026-02-02T18:45:01.419933,160
125,Nickel Alloy Inconel 718 [0125],metal,nickel alloy,Inconel 718,ISO,ISO 77796,X32955,,"bundle,metal,nickel_alloy,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8243.43,218693113922.92,0.3397,760564521.7,1368750762.47,39738162.46,2.3487529e-05,797.06,286.6446,2026-02-02T18:45:01.420418,2026-02-02T18:45:01.420422,161
126,Abs ABS-HighImpact [0126],polymer,abs,ABS-HighImpact,ASTM,ASTM A835,,,"abs,bundle,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1073.04,2534076580.48,0.3866,160867112.5,272647388.63,11208212.09,6.5625018e-05,260.54,0.4893,2026-02-02T18:45:01.420786,2026-02-02T18:45:01.420792,162
127,Steel 304 [0127],metal,steel,304,EN,EN 59718,X38958,1.6539,"bundle,metal,steel,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8751.9,206967084659.58,0.261,1144980690.46,1898660083.91,140876543.77,8.2575757e-06,622.16,163.1734,2026-02-02T18:45:01.421141,2026-02-02T18:45:01.421145,163
128,Glass Fused silica [0128],ceramic,glass,Fused silica,ISO,ISO 7413,,,"bundle,ceramic,glass,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,2851.94,440331962296.15,0.1384,1392740687.12,2642545342.72,4562462.66,2.6173213e-06,2840.77,90.0012,2026-02-02T18:45:01.421602,2026-02-02T18:45:01.421606,164
129,Aluminum 6063 [0129],metal,aluminum,6063,EN,EN 98099,X79805,1.3382,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8756.29,191263029767.99,0.2847,844087255.86,1185425418.7,98882130.73,8.0952515e-06,787.75,134.8609,2026-02-02T18:45:01.422263,2026-02-02T18:45:01.422267,166
130,Cfrp CFRP-UD [0130],composite,CFRP,CFRP-UD,ASTM,ASTM D180,,,"CFRP,bundle,composite,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1633.87,82110038241.71,0.3371,529174511.3,793706939.45,4713284.49,-1.8097835e-06,310.95,6.6155,2026-02-02T18:45:01.422680,2026-02-02T18:45:01.422683,167
131,Aluminum 2024 [0131],metal,aluminum,2024,EN,EN 64076,X99971,1.1049,"aluminum,bundle,metal,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,8385.99,214686577849.34,0.3547,944328652.32,1515100018.78,110423468.83,1.9668052e-05,1280.77,42.7556,2026-02-02T18:45:01.422963,2026-02-02T18:45:01.422966,168
132,Peek PEEK-CF30 [0132],polymer,peek,PEEK-CF30,EN,EN 61760,,1.2332,"bundle,peek,polymer,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1244.49,5656367904.89,0.4433,104616020.2,118535959.62,6981245.54,0.00011266812,136.12,0.7326,2026-02-02T18:45:01.423336,2026-02-02T18:45:01.423340,169
133,Ptfe PTFE-Carbon [0133],polymer,ptfe,PTFE-Carbon,JIS,JIS G7521,,,"bundle,polymer,ptfe,synthetic",Synthetic A–P bundle data: plausible ranges & structure; not datasheet-verified.,builtin,synthetic_bundle_v1,SYN,1035.44,13019422215.66,0.3394,128169643.91,242705916.16,6811414.34,0.00011435456,151.93,0.3618,2026-02-02T18:45:01.423995,2026-02-02T18:45:01.423998,171
